True_Label,Predicted_Label,Confidence
NORMAL,NORMAL,0.8934606499246466
NORMAL,NORMAL,0.899201168479327
NORMAL,NORMAL,0.8847579802821166
NORMAL,NORMAL,0.9185637152475272
NORMAL,NORMAL,0.8790600333577535
NORMAL,NORMAL,0.8832270012161312
NORMAL,BERAT,0.03517585311576852
NORMAL,NORMAL,0.8968009448665257
NORMAL,NORMAL,0.8831050927918938
NORMAL,NORMAL,0.8941972350121681
NORMAL,NORMAL,0.8913072476747009
NORMAL,NORMAL,0.9331810389806586
NORMAL,NORMAL,0.8989658358918097
NORMAL,NORMAL,0.8911928374463483
NORMAL,NORMAL,0.9503486272497785
NORMAL,NORMAL,0.891007462589211
NORMAL,NORMAL,0.9359750058346521
NORMAL,NORMAL,0.8888690832074672
NORMAL,NORMAL,0.8855696879896906
NORMAL,NORMAL,0.8945130487134996
NORMAL,NORMAL,0.8930314723420232
NORMAL,NORMAL,0.9145065091861257
NORMAL,NORMAL,0.8918047345166348
NORMAL,NORMAL,0.9109625744691707
NORMAL,NORMAL,0.8970360066797157
NORMAL,NORMAL,0.9423465047247435
NORMAL,NORMAL,0.8987832465116262
NORMAL,NORMAL,0.8991031999242199
NORMAL,NORMAL,0.8833439606196192
NORMAL,NORMAL,0.8882185082226324
NORMAL,NORMAL,0.9946855772368455
NORMAL,NORMAL,0.9531487498943341
NORMAL,NORMAL,0.890349671009045
NORMAL,NORMAL,0.9040200464124029
NORMAL,NORMAL,0.9032581533696248
NORMAL,NORMAL,0.8860406407103565
NORMAL,BERAT,0.01831742321931733
NORMAL,NORMAL,0.9227253867116787
NORMAL,NORMAL,0.8831919072206207
NORMAL,NORMAL,0.8882336416315564
NORMAL,NORMAL,0.8816250921136775
NORMAL,NORMAL,0.902684390515119
NORMAL,NORMAL,0.8841958284261144
NORMAL,NORMAL,0.9595856728606558
NORMAL,NORMAL,0.9080524243643198
NORMAL,NORMAL,0.8868073972267141
NORMAL,BERAT,0.03622093018835173
NORMAL,BERAT,0.009731323527449832
NORMAL,NORMAL,0.8845614921471523
